genres,id,original_title,overview,popularity,poster_path,production_companies,release_date,tagline,title,vote_average,vote_count,genres_clean,companies_text,content
drama history,224,człowiek z marmuru,man of marble is a polish film about a student making a film about a bricklayer who was once idolized. she interviews people who knew him and finds old footage that lead to an unfolding mystery that causes her producer to cancel the project.,2.78344,/6rJekdaaRSnuz86BsWPHGKs3fhI.jpg,"[{'name': 'Film Polski Film Agency', 'id': 52}, {'name': 'Zespól Filmowy ""X""', 'id': 6804}]",1977-02-25,,man of marble,5.8,16.0,"['Drama', 'History']","film polski film agency zespól filmowy ""x""","man of marble drama history man of marble is a polish film about a student making a film about a bricklayer who was once idolized. she interviews people who knew him and finds old footage that lead to an unfolding mystery that causes her producer to cancel the project.  film polski film agency zespól filmowy ""x"""
comedy romance drama,508,love actually,follows seemingly unrelated people as their lives begin to intertwine while they fall in – and out – of love. affections languish and develop as christmas draws near.,10.586815,/7QPeVsr9rcFU9Gl90yg0gTOTpVv.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'DNA Films', 'id': 284}, {'name': 'StudioCanal', 'id': 694}, {'name': 'Working Title Films', 'id': 10163}]",2003-09-07,the ultimate romantic comedy.,love actually,7.0,1917.0,"['Drama', 'Comedy', 'Romance']",universal pictures dna films studiocanal working title films,love actually comedy romance drama follows seemingly unrelated people as their lives begin to intertwine while they fall in – and out – of love. affections languish and develop as christmas draws near. the ultimate romantic comedy. universal pictures dna films studiocanal working title films
drama history,780,la passion de jeanne d'arc,"a classic of the silent age, this film tells the story of the doomed but ultimately canonized 15th-century teenage warrior. on trial for claiming she'd spoken to god, jeanne d'arc is subjected to inhumane treatment and scare tactics at the hands of church court officials. initially bullied into changing her story, jeanne eventually opts for what she sees as the truth. her punishment, a famously brutal execution, earns her perpetual martyrdom.",8.903953,/8OYGtQlO8k9PcOm49apV62eVJQo.jpg,"[{'name': 'Société générale des films', 'id': 1237}]",1928-04-21,an immortal screen classic that will live forever!,the passion of joan of arc,8.2,159.0,"['Drama', 'History']",société générale des films,"the passion of joan of arc drama history a classic of the silent age, this film tells the story of the doomed but ultimately canonized 15th-century teenage warrior. on trial for claiming she'd spoken to god, jeanne d'arc is subjected to inhumane treatment and scare tactics at the hands of church court officials. initially bullied into changing her story, jeanne eventually opts for what she sees as the truth. her punishment, a famously brutal execution, earns her perpetual martyrdom. an immortal screen classic that will live forever! société générale des films"
drama romance,899,broken blossoms,broken blossoms is an american silent film from director d. w. griffith. this melodrama tells the love story of an abused english woman and a chinese buddhist in a time when london was a brutal and harsh place to live.,3.185824,/njwFIUL76zaRmPemnrZVmmTSCjz.jpg,"[{'name': 'United Artists', 'id': 60}, {'name': 'D.W. Griffith Productions', 'id': 4759}]",1919-05-13,,broken blossoms,6.9,41.0,"['Drama', 'Romance']",united artists d.w. griffith productions,broken blossoms drama romance broken blossoms is an american silent film from director d. w. griffith. this melodrama tells the love story of an abused english woman and a chinese buddhist in a time when london was a brutal and harsh place to live.  united artists d.w. griffith productions
drama thriller adventure,3176,バトル・ロワイアル,"in the future, the japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""battle royale"" act.",12.701098,/gFX7NuBUeKysOB9nEzRqVpHNT32.jpg,"[{'name': 'Nippon Shuppan Hanbai (Nippan) K.K.', 'id': 3032}, {'name': 'GAGA', 'id': 3656}, {'name': 'WoWow', 'id': 5073}, {'name': 'AM Associates', 'id': 11538}, {'name': 'Kobi Co.', 'id': 11539}, {'name': 'MF Pictures', 'id': 11540}]",2000-12-16,could you kill your best friend?,battle royale,7.3,992.0,"['Thriller', 'Drama', 'Adventure']",nippon shuppan hanbai (nippan) k.k. gaga wowow am associates kobi co. mf pictures,"battle royale drama thriller adventure in the future, the japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""battle royale"" act. could you kill your best friend? nippon shuppan hanbai (nippan) k.k. gaga wowow am associates kobi co. mf pictures"
drama,898,birdman of alcatraz,"after killing a prison guard, convict robert stroud faces life imprisonment in solitary confinement. driven nearly mad by loneliness and despair, stroud's life gains new meaning when he happens upon a helpless baby sparrow in the exercise yard and nurses it back to health. despite having only a third grade education, stroud goes on to become a renowned ornithologist and achieves a greater sense of freedom and purpose behind bars than most people find in the outside world.",4.471515,/6EODLN11HTX4l2cmakAhWIoJLF.jpg,"[{'name': 'Norma Productions', 'id': 584}]",1962-07-03,inside the rock called alcatraz they tried to chain a volcano they called,birdman of alcatraz,7.0,71.0,['Drama'],norma productions,"birdman of alcatraz drama after killing a prison guard, convict robert stroud faces life imprisonment in solitary confinement. driven nearly mad by loneliness and despair, stroud's life gains new meaning when he happens upon a helpless baby sparrow in the exercise yard and nurses it back to health. despite having only a third grade education, stroud goes on to become a renowned ornithologist and achieves a greater sense of freedom and purpose behind bars than most people find in the outside world. inside the rock called alcatraz they tried to chain a volcano they called norma productions"
adventure drama history,2000,"aguirre, der zorn gottes","a few decades after the destruction of the inca empire, a spanish expedition leaves the mountains of peru and goes down the amazon river in search of gold and wealth. soon, they come across great difficulties and don aguirre, a ruthless man who cares only about riches, becomes their leader. but will his quest lead them to ""the golden city"", or to certain destruction?",10.996826,/qMk93yMo82svW27FEjudgueBMUL.jpg,"[{'name': 'Werner Herzog Filmproduktion', 'id': 843}, {'name': 'Hessischer Rundfunk (HR)', 'id': 9292}]",1972-12-29,a breathtaking journey into the heart of darkness,aguirre: the wrath of god,7.5,210.0,"['Drama', 'History', 'Adventure']",werner herzog filmproduktion hessischer rundfunk (hr),"aguirre: the wrath of god adventure drama history a few decades after the destruction of the inca empire, a spanish expedition leaves the mountains of peru and goes down the amazon river in search of gold and wealth. soon, they come across great difficulties and don aguirre, a ruthless man who cares only about riches, becomes their leader. but will his quest lead them to ""the golden city"", or to certain destruction? a breathtaking journey into the heart of darkness werner herzog filmproduktion hessischer rundfunk (hr)"
drama fantasy romance,648,la belle et la bête,"the story of a gentle-hearted beast in love with a simple and beautiful girl. she is drawn to the repellent but strangely fascinating beast, who tests her fidelity by giving her a key, telling her that if she doesn't return it to him by a specific time, he will die of grief. she is unable to return the key on time, but it is revealed that the beast is the genuinely handsome one. a simple tale of tragic love that turns into a surreal vision of death, desire, and beauty.",4.798852,/iYSe3yrkma0e1B0wWPXgr8w5sDN.jpg,"[{'name': 'Discina', 'id': 479}]",1946-10-29,once upon a time,beauty and the beast,7.8,133.0,"['Drama', 'Romance', 'Fantasy']",discina,"beauty and the beast drama fantasy romance the story of a gentle-hearted beast in love with a simple and beautiful girl. she is drawn to the repellent but strangely fascinating beast, who tests her fidelity by giving her a key, telling her that if she doesn't return it to him by a specific time, he will die of grief. she is unable to return the key on time, but it is revealed that the beast is the genuinely handsome one. a simple tale of tragic love that turns into a surreal vision of death, desire, and beauty. once upon a time discina"
drama action war history,616,the last samurai,"nathan algren is an american hired to instruct the japanese army in the ways of modern warfare, which finds him learning to respect the samurai and the honorable principles that rule them. pressed to destroy the samurai's way of life in the name of modernization and open trade, algren decides to become an ultimate warrior himself and to fight for their right to exist.",19.582325,/a8jmJPs5eZBARmnuEEvZwbjwyz4.jpg,"[{'name': 'Cruise/Wagner Productions', 'id': 44}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Radar Pictures', 'id': 14718}, {'name': 'Bedford Falls Company, The', 'id': 20634}]",2003-12-05,"in the face of an enemy, in the heart of one man, lies the soul of a warrior.",the last samurai,7.3,1946.0,"['Drama', 'History', 'War', 'Action']","cruise/wagner productions warner bros. radar pictures bedford falls company, the","the last samurai drama action war history nathan algren is an american hired to instruct the japanese army in the ways of modern warfare, which finds him learning to respect the samurai and the honorable principles that rule them. pressed to destroy the samurai's way of life in the name of modernization and open trade, algren decides to become an ultimate warrior himself and to fight for their right to exist. in the face of an enemy, in the heart of one man, lies the soul of a warrior. cruise/wagner productions warner bros. radar pictures bedford falls company, the"
adventure fantasy drama,587,big fish,"throughout his life edward bloom has always been a man of big appetites, enormous passions and tall tales. in his later years, he remains a huge mystery to his son, william. now, to get to know the real man, will begins piecing together a true picture of his father from flashbacks of his amazing adventures.",14.739983,/tjK063yCgaBAluVU72rZ6PKPH2l.jpg,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'The Zanuck Company', 'id': 80}, {'name': 'Jinks/Cohen Company', 'id': 2721}, {'name': 'Tim Burton Productions', 'id': 8601}]",2003-12-25,an adventure as big as life itself.,big fish,7.6,2064.0,"['Drama', 'Fantasy', 'Adventure']",columbia pictures the zanuck company jinks/cohen company tim burton productions,"big fish adventure fantasy drama throughout his life edward bloom has always been a man of big appetites, enormous passions and tall tales. in his later years, he remains a huge mystery to his son, william. now, to get to know the real man, will begins piecing together a true picture of his father from flashbacks of his amazing adventures. an adventure as big as life itself. columbia pictures the zanuck company jinks/cohen company tim burton productions"
drama,2289,cold mountain,"in this classic story of love and devotion set against the backdrop of the american civil war, a wounded confederate soldier named w.p. inman deserts his unit and travels across the south, aiming to return to his young wife, ada, who he left behind to tend their farm. as inman makes his perilous journey home, ada struggles to keep their home intact with the assistance of ruby, a mysterious drifter sent to help her by a kindly neighbor.",9.645543,/j0AJeeR5CQPDFh0otyWyCWREHO8.jpg,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'Mirage Enterprises', 'id': 932}, {'name': 'Castel Film Romania', 'id': 1370}, {'name': 'Bona Fide Productions', 'id': 2570}, {'name': 'Cattleya', 'id': 10102}]",2003-12-24,find the strength. find the courage. no matter what it takes... find the way home.,cold mountain,6.7,545.0,['Drama'],miramax films mirage enterprises castel film romania bona fide productions cattleya,"cold mountain drama in this classic story of love and devotion set against the backdrop of the american civil war, a wounded confederate soldier named w.p. inman deserts his unit and travels across the south, aiming to return to his young wife, ada, who he left behind to tend their farm. as inman makes his perilous journey home, ada struggles to keep their home intact with the assistance of ruby, a mysterious drifter sent to help her by a kindly neighbor. find the strength. find the courage. no matter what it takes... find the way home. miramax films mirage enterprises castel film romania bona fide productions cattleya"
comedy family,778,les vacances de monsieur hulot,"monsieur hulot comes to a beachside hotel for a vacation, where he accidentally (but good-naturedly) causes havoc.",4.328916,/r4F4tsU0Ajeh9ZYUkWOJSYmioj7.jpg,"[{'name': 'Cady', 'id': 478}, {'name': 'Discina', 'id': 479}]",1953-02-26,it's laugh-vacation time as jacques tati romps through the most gloriously mad lark ever to tickle the ribs of young and old alike!,monsieur  hulot's holiday,7.3,76.0,"['Comedy', 'Family']",cady discina,"monsieur  hulot's holiday comedy family monsieur hulot comes to a beachside hotel for a vacation, where he accidentally (but good-naturedly) causes havoc. it's laugh-vacation time as jacques tati romps through the most gloriously mad lark ever to tickle the ribs of young and old alike! cady discina"
science fiction thriller,1954,the butterfly effect,"a young man struggles to access sublimated childhood memories. he finds a technique that allows him to travel back into the past, to occupy his childhood body and change history. however, he soon finds that every change he makes has unexpected consequences.",12.994939,/ea5iv7TWMh18fOKoRGgmtcg85Gx.jpg,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'FilmEngine', 'id': 816}, {'name': 'Katalyst Films', 'id': 817}, {'name': 'BenderSpink', 'id': 6363}, {'name': 'Province of British Columbia Production Services Tax Credit', 'id': 12200}]",2004-01-22,"such minor changes, such huge consequences.",the butterfly effect,7.3,2119.0,"['Thriller', 'Science Fiction']",new line cinema filmengine katalyst films benderspink province of british columbia production services tax credit,"the butterfly effect science fiction thriller a young man struggles to access sublimated childhood memories. he finds a technique that allows him to travel back into the past, to occupy his childhood body and change history. however, he soon finds that every change he makes has unexpected consequences. such minor changes, such huge consequences. new line cinema filmengine katalyst films benderspink province of british columbia production services tax credit"
drama romance,1278,the dreamers,a young american studying in paris in 1968 strikes up a friendship with a french brother and sister. set against the background of the '68 paris student riots.,6.685981,/8xYTTQVCxVXkMtPitvwEudNrgtd.jpg,"[{'name': 'Peninsula Films', 'id': 682}, {'name': 'Recorded Picture Company (RPC)', 'id': 11561}, {'name': 'Fiction Films', 'id': 20783}]",2003-09-01,together nothing is impossible. together nothing is forbidden.,the dreamers,7.2,680.0,"['Drama', 'Romance']",peninsula films recorded picture company (rpc) fiction films,the dreamers drama romance a young american studying in paris in 1968 strikes up a friendship with a french brother and sister. set against the background of the '68 paris student riots. together nothing is impossible. together nothing is forbidden. peninsula films recorded picture company (rpc) fiction films
drama,337,monsieur ibrahim et les fleurs du coran,monsieur ibrahim is a story about a young jewish boy in paris who meets an old muslim turkish grocery store owner. the film touches the themes of friendship and love as the old man is a father figure to the boy as he teaches him of the koran. the film is based on a book of the popular book by the french author eric-emmanuel schmitt.,8.260823,/lS4hx9X5v6cpoCzzQohZs7zD881.jpg,"[{'name': 'ARP Sélection', 'id': 189}]",2003-12-03,,monsieur ibrahim,7.0,39.0,['Drama'],arp sélection,monsieur ibrahim drama monsieur ibrahim is a story about a young jewish boy in paris who meets an old muslim turkish grocery store owner. the film touches the themes of friendship and love as the old man is a father figure to the boy as he teaches him of the koran. the film is based on a book of the popular book by the french author eric-emmanuel schmitt.  arp sélection
western adventure,2023,hidalgo,"set in 1890, this is the story of a pony express courier who travels to arabia to compete with his horse, hidalgo, in a dangerous race for a massive contest prize, in an adventure that sends the pair around the world...",8.140709,/iGzENlBPYJEFWZnye4t3nqWSSp1.jpg,"[{'name': 'Casey Silver Productions', 'id': 877}, {'name': 'Touchstone Pictures', 'id': 9195}, {'name': 'Dune Films', 'id': 19477}]",2004-03-05,unbridled. unbroken. unbeaten.,hidalgo,6.5,321.0,"['Western', 'Adventure']",casey silver productions touchstone pictures dune films,"hidalgo western adventure set in 1890, this is the story of a pony express courier who travels to arabia to compete with his horse, hidalgo, in a dangerous race for a massive contest prize, in an adventure that sends the pair around the world... unbridled. unbroken. unbeaten. casey silver productions touchstone pictures dune films"
fantasy horror action,924,dawn of the dead,"a group of surviving people take refuge in a shopping center after the world has been over taken over by aggressive, flesh-eating zombies. a remake of the 1978 zombie film of the same name.",13.157873,/ttquyxStEEctzghtA2f4PUGprDr.jpg,"[{'name': 'New Amsterdam Entertainment', 'id': 572}, {'name': 'Strike Entertainment', 'id': 655}, {'name': 'Metropolitan Filmexport', 'id': 656}, {'name': 'Toho-Towa', 'id': 657}, {'name': 'Cruel and Unusual Films', 'id': 78685}]",2004-03-19,"when the undead rise, civilization will fall.",dawn of the dead,6.8,1039.0,"['Horror', 'Action', 'Fantasy']",new amsterdam entertainment strike entertainment metropolitan filmexport toho-towa cruel and unusual films,"dawn of the dead fantasy horror action a group of surviving people take refuge in a shopping center after the world has been over taken over by aggressive, flesh-eating zombies. a remake of the 1978 zombie film of the same name. when the undead rise, civilization will fall. new amsterdam entertainment strike entertainment metropolitan filmexport toho-towa cruel and unusual films"
crime drama thriller,553,dogville,"a barren soundstage is stylishly utilized to create a minimalist small-town setting in which a mysterious woman named grace hides from the criminals who pursue her. the town is two-faced and offers to harbor grace as long as she can make it worth their effort, so grace works hard under the employ of various townspeople to win their favor. tensions flare, however, and grace's status as a helpless outsider provokes vicious contempt and abuse from the citizens of dogville.",9.808595,/lraVawavIXh5geMlVjpzCw9TGwR.jpg,"[{'name': 'Zentropa Entertainments', 'id': 76}, {'name': 'Danmarks Radio (DR)', 'id': 119}, {'name': 'Trollhättan Film AB', 'id': 320}, {'name': 'Memfis Film', 'id': 321}, {'name': 'France 3 Cinéma', 'id': 591}, {'name': 'Sveriges Television (SVT)', 'id': 3221}, {'name': 'Yleisradio (YLE)', 'id': 5975}, {'name': 'Arte France Cinéma', 'id': 6916}, {'name': 'Slot Machine', 'id': 7777}, {'name': 'Liberator Productions', 'id': 11239}, {'name': 'Nederlandse Programma Stichting (NPS)', 'id': 12023}, {'name': 'Isabella Films B.V.', 'id': 12045}, {'name': 'WDR / Arte', 'id': 12390}, {'name': 'Film i Väst', 'id': 17513}, {'name': 'Pain Unlimited GmbH Filmproduktion', 'id': 30268}, {'name': 'Something Else B.V.', 'id': 53873}, {'name': 'Sigma Films', 'id': 53874}, {'name': 'Zoma Films Ltd.', 'id': 53875}, {'name': 'Norsk TV2 AS', 'id': 53879}]",2003-05-19,a quiet little town not far from here.,dogville,7.6,619.0,"['Thriller', 'Drama', 'Crime']",zentropa entertainments danmarks radio (dr) trollhättan film ab memfis film france 3 cinéma sveriges television (svt) yleisradio (yle) arte france cinéma slot machine liberator productions nederlandse programma stichting (nps) isabella films b.v. wdr / arte film i väst pain unlimited gmbh filmproduktion something else b.v. sigma films zoma films ltd. norsk tv2 as,"dogville crime drama thriller a barren soundstage is stylishly utilized to create a minimalist small-town setting in which a mysterious woman named grace hides from the criminals who pursue her. the town is two-faced and offers to harbor grace as long as she can make it worth their effort, so grace works hard under the employ of various townspeople to win their favor. tensions flare, however, and grace's status as a helpless outsider provokes vicious contempt and abuse from the citizens of dogville. a quiet little town not far from here. zentropa entertainments danmarks radio (dr) trollhättan film ab memfis film france 3 cinéma sveriges television (svt) yleisradio (yle) arte france cinéma slot machine liberator productions nederlandse programma stichting (nps) isabella films b.v. wdr / arte film i väst pain unlimited gmbh filmproduktion something else b.v. sigma films zoma films ltd. norsk tv2 as"
horror,923,dawn of the dead,"during an ever-growing epidemic of zombies that have risen from the dead, two philadelphia swat team members, a traffic reporter, and his television-executive girlfriend seek refuge in a secluded shopping mall.",19.24201,/70MY8H0bLMvXf8ED2SgVMPhDVVM.jpg,"[{'name': 'Laurel Group', 'id': 638}, {'name': 'Dawn Associates', 'id': 83715}]",1978-09-02,"when there's no more room in hell, the dead will walk the earth.",dawn of the dead,7.4,597.0,['Horror'],laurel group dawn associates,"dawn of the dead horror during an ever-growing epidemic of zombies that have risen from the dead, two philadelphia swat team members, a traffic reporter, and his television-executive girlfriend seek refuge in a secluded shopping mall. when there's no more room in hell, the dead will walk the earth. laurel group dawn associates"
drama thriller crime romance,237,young adam,a young drifter working on a river barge disrupts his employers' lives while hiding the fact that he knows more about a dead woman found in the river than he admits.,5.235419,/rU5GJ5r4tQbSx9C2ENKbPkD6nr9.jpg,"[{'name': 'Recorded Picture Company (RPC)', 'id': 11561}]",2003-09-26,everyone has a past. everyone has a secret.,young adam,5.9,46.0,"['Thriller', 'Drama', 'Crime', 'Romance']",recorded picture company (rpc),young adam drama thriller crime romance a young drifter working on a river barge disrupts his employers' lives while hiding the fact that he knows more about a dead woman found in the river than he admits. everyone has a past. everyone has a secret. recorded picture company (rpc)
drama romance,1394,nostalghia,"the russian poet andrei gorchakov, accompanied by guide and translator eugenia, is traveling through italy researching the life of an 18th-century russian composer. in an ancient spa town, he meets the lunatic domenico, who years earlier had imprisoned his own family in his house for seven years to save them from the evils of the world. seeing some deep truth in domenico's act, andrei becomes drawn to him. in a series of dreams, the poet's nostalgia for his homeland and his longing for his wife, his ambivalent feelings for eugenia and italy, and his sense of kinship with domenico become intertwined.",4.235709,/fCYSidPXp3LpDa9wlLNv0gZvjyF.jpg,"[{'name': 'Rai 2', 'id': 23119}, {'name': 'Sovinfilm', 'id': 32054}]",1983-05-01,,nostalgia,7.5,77.0,"['Drama', 'Romance']",rai 2 sovinfilm,"nostalgia drama romance the russian poet andrei gorchakov, accompanied by guide and translator eugenia, is traveling through italy researching the life of an 18th-century russian composer. in an ancient spa town, he meets the lunatic domenico, who years earlier had imprisoned his own family in his house for seven years to save them from the evils of the world. seeing some deep truth in domenico's act, andrei becomes drawn to him. in a series of dreams, the poet's nostalgia for his homeland and his longing for his wife, his ambivalent feelings for eugenia and italy, and his sense of kinship with domenico become intertwined.  rai 2 sovinfilm"
adventure drama action comedy,1059,隠し砦の三悪人,"lured by gold, two greedy peasants escort a man and woman across enemy lines. however, they do not realize that their companions are actually a princess and her general.",5.624255,/olO4vMPKNIJQxhJh54TPQFwKpad.jpg,"[{'name': 'Toho Company', 'id': 882}]",1958-12-28,,the hidden fortress,8.0,117.0,"['Drama', 'Comedy', 'Action', 'Adventure']",toho company,"the hidden fortress adventure drama action comedy lured by gold, two greedy peasants escort a man and woman across enemy lines. however, they do not realize that their companions are actually a princess and her general.  toho company"
horror thriller,5481,schock,a couple is terrorized in their new house haunted by the vengeful ghost of the woman's former husband who possesses her young son.,0.992774,/lAa9c7jxONjWNbaacZrIwb39bf0.jpg,"[{'name': 'Laser Films', 'id': 15191}]",1977-08-12,a new look at the face of evil.,shock,6.4,21.0,"['Thriller', 'Horror']",laser films,shock horror thriller a couple is terrorized in their new house haunted by the vengeful ghost of the woman's former husband who possesses her young son. a new look at the face of evil. laser films
drama history war,5902,a bridge too far,tells the story of operation market garden. a failed attempt by the allies in the latter stages of wwii to end the war quickly by securing three bridges in holland allowing access over the rhine into germany. a combination of poor allied intelligence and the presence of two crack german panzer divisions meant that the final part of this operation (the bridge in arnhem over the rhine) was doomed to failure.,7.719173,/lszOk3Xmh7qpLaM9J4K9E6ADLk1.jpg,"[{'name': 'United Artists', 'id': 60}, {'name': 'Joseph E. Levine Productions', 'id': 11503}]",1977-06-15,out of the sky comes the screen's most incredible spectacle of men and war!,a bridge too far,7.0,210.0,"['Drama', 'History', 'War']",united artists joseph e. levine productions,a bridge too far drama history war tells the story of operation market garden. a failed attempt by the allies in the latter stages of wwii to end the war quickly by securing three bridges in holland allowing access over the rhine into germany. a combination of poor allied intelligence and the presence of two crack german panzer divisions meant that the final part of this operation (the bridge in arnhem over the rhine) was doomed to failure. out of the sky comes the screen's most incredible spectacle of men and war! united artists joseph e. levine productions
comedy drama,316,halbe treppe,in the style of a documentary this tragic comedy tells the story of a relationship crisis between two married couples and their longing to break out of their miserable daily lives. in this east german post-wall movie andreas dresen introduces the sad everyday life of two couples from frankfurt an der oder in a honest and tolerable manner.,0.637825,/bMdeYeO8ylTqJDVnEPECdhroEg8.jpg,"[{'name': 'Peter Rommel Productions', 'id': 166}]",2002-02-12,,grill point,6.9,7.0,"['Drama', 'Comedy']",peter rommel productions,grill point comedy drama in the style of a documentary this tragic comedy tells the story of a relationship crisis between two married couples and their longing to break out of their miserable daily lives. in this east german post-wall movie andreas dresen introduces the sad everyday life of two couples from frankfurt an der oder in a honest and tolerable manner.  peter rommel productions
drama horror science fiction,3072,frankenstein unbound,"the ultimate weapon, claimed to be safe for mankind, produces global side-effects including time slides and disappearances. the scientist behind the project and his car are zapped from the year 2031 to 1817 in switzerland where he meets dr. victor frankenstein, mary shelley and others.",2.079742,/r5l1RDSOShMrUmRtiADxrq3ig00.jpg,"[{'name': 'The Mount Company', 'id': 1312}]",1990-11-02,,frankenstein unbound,5.4,21.0,"['Drama', 'Horror', 'Science Fiction']",the mount company,"frankenstein unbound drama horror science fiction the ultimate weapon, claimed to be safe for mankind, produces global side-effects including time slides and disappearances. the scientist behind the project and his car are zapped from the year 2031 to 1817 in switzerland where he meets dr. victor frankenstein, mary shelley and others.  the mount company"
crime horror science fiction,48385,indestructible man,"scientific experiments accidentally revive an executed criminal and make him impervious to harm, allowing him to seek revenge on his former partners, and deal similarly with anyone else who gets in his way.",3.692449,/kcD0kG86GK2mUHjNf6QoDfwtnxd.jpg,"[{'name': 'C.G.K. Productions', 'id': 34284}]",1956-03-24,"the screen's 300,000 volt shocker!",indestructible man,4.9,7.0,"['Horror', 'Crime', 'Science Fiction']",c.g.k. productions,"indestructible man crime horror science fiction scientific experiments accidentally revive an executed criminal and make him impervious to harm, allowing him to seek revenge on his former partners, and deal similarly with anyone else who gets in his way. the screen's 300,000 volt shocker! c.g.k. productions"
adventure horror thriller,1994,the most dangerous game,"when legendary hunter bob rainsford is shipwrecked on the perilous reefs surrounding a mysterious island, he finds himself the guest of the reclusive and eccentric count zaroff. while he is very gracious at first, zaroff eventually forces rainsford and two other shipwreck survivors, brother and sister eve and martin towbridge, to participate in a sadistic game of cat and mouse in which they are the prey and he is the hunter.",3.295206,/3aNlOIFlGOnIzxqvAWpgm5Sly1H.jpg,"[{'name': 'RKO Radio Pictures', 'id': 6}]",1932-09-16,they saw the heads of hunted men in zaroff's trophy room!,the most dangerous game,7.2,43.0,"['Thriller', 'Horror', 'Adventure']",rko radio pictures,"the most dangerous game adventure horror thriller when legendary hunter bob rainsford is shipwrecked on the perilous reefs surrounding a mysterious island, he finds himself the guest of the reclusive and eccentric count zaroff. while he is very gracious at first, zaroff eventually forces rainsford and two other shipwreck survivors, brother and sister eve and martin towbridge, to participate in a sadistic game of cat and mouse in which they are the prey and he is the hunter. they saw the heads of hunted men in zaroff's trophy room! rko radio pictures"
action adventure science fiction thriller,435,the day after tomorrow,"after years of increases in the greenhouse effect,  havoc is wreaked globally in the form of catastrophic hurricanes, tornadoes, tidal waves, floods and the beginning of a new ice age. paleoclimatologist, jack hall tries to warn the world while also shepherding to safety his son, trapped in new york after the city is overwhelmed by the start of the new big freeze.",15.049695,/Wr4HeYQRvwVCxzOV5TmGE7UkXq.jpg,"[{'name': 'Lions Gate Films', 'id': 35}, {'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Centropolis Entertainment', 'id': 347}, {'name': 'Mark Gordon Productions', 'id': 11362}, {'name': ""Mel's Cite du Cinema"", 'id': 54502}]",2004-05-26,where will you be?,the day after tomorrow,6.2,2462.0,"['Thriller', 'Action', 'Science Fiction', 'Adventure']",lions gate films twentieth century fox film corporation centropolis entertainment mark gordon productions mel's cite du cinema,"the day after tomorrow action adventure science fiction thriller after years of increases in the greenhouse effect,  havoc is wreaked globally in the form of catastrophic hurricanes, tornadoes, tidal waves, floods and the beginning of a new ice age. paleoclimatologist, jack hall tries to warn the world while also shepherding to safety his son, trapped in new york after the city is overwhelmed by the start of the new big freeze. where will you be? lions gate films twentieth century fox film corporation centropolis entertainment mark gordon productions mel's cite du cinema"
adventure fantasy family,673,harry potter and the prisoner of azkaban,"harry, ron and hermione return to hogwarts for another magic-filled year. harry comes face to face with danger yet again, this time in the form of escaped convict, sirius black – and turns to sympathetic professor lupin for help.",28.460276,/aWxwnYoe8p2d2fcxOqtvAtJ72Rw.jpg,"[{'name': '1492 Pictures', 'id': 436}, {'name': 'Heyday films', 'id': 437}, {'name': 'Warner Bros.', 'id': 6194}]",2004-05-31,something wicked this way comes.,harry potter and the prisoner of azkaban,7.7,6037.0,"['Family', 'Fantasy', 'Adventure']",1492 pictures heyday films warner bros.,"harry potter and the prisoner of azkaban adventure fantasy family harry, ron and hermione return to hogwarts for another magic-filled year. harry comes face to face with danger yet again, this time in the form of escaped convict, sirius black – and turns to sympathetic professor lupin for help. something wicked this way comes. 1492 pictures heyday films warner bros."
